"козёл","Ziegenbock"
"про́чный","dauerhaft; beständig; belastbar; solide; fest; strapazierfähig; haltbar"
"ви́ски","Whisky, Whiskey"
"фиоле́товый","violett, lila"
"маги́ческий","magisch, zauberhaft"
"механи́ческий","mechanisch"
"се́ктор","Sektor, Kreisausschnitt, Abteilung, Zweig"
"прихвати́ть","mitnehmen; überraschen, ereilen; befestigen, anheften, feststecken"
"вино́вный","schuldig, schuld"
"мёд","Honig"
"разма́х","Spanne, Ausmaß, Wucht, Schwung; Spannweite, Flügelweite; Schwingungsweite, Amplitude"
"непра́вда","Unwahrheit, Lüge"
"возвраща́ть","zurückgeben, zurückerstatten, wiedergeben, zurückschicken"
"пято́к","Fünf, fünf; Freitag"
"посеще́ние","Besuch, Visite"
"попола́м","halb, hälftig, zur Hälfte, fifty-fifty"
"насме́шливо","spöttisch, höhnisch, spöttlustig"
"демонстри́ровать","demonstrieren, sich an einer Demonstration beteiligen, vorführen, zeigen, bekunden"
"аге́нтство","Agentur, Vertretung"
"слу́шатель","Zuhörer, Hörer"
"затяну́ться","sich zuziehen, an etw. ziehen; sich hinziehen, sich in die Länge ziehen; verheilen, heilen"
"ко́декс","Kodex, ; Gesetzbuch"
"коса́","Zopf; Sense, Rasentrimmer; Landzunge, Kap"
"коса́","Bantu; Bantusprache"
"удовлетвори́ть","befriedigen, erfüllen, entsprechen; zufriedenstellen, genügen, Genüge leisten"
"аккура́тный","akkurat, genau; ordentlich, sorgfältig"
"собо́р","Kathedrale, Dom, Münster; Konzil, Versammlung"
"толь","Dachpappe, Teerpappe"
"восстановле́ние","Wiederaufbau; Wiederherstellung, Restauration, Restaurierung"
"чудо́вище","Monster, Unmensch; Ungeheuer, Scheusal, Bestie"
"прила́вок","Theke; Ladentisch"
"оправда́ть","rechtfertigen, entschuldigen; freisprechen; rechtfertigen, erfüllen; belegen, nachweisen"
"подели́ться","teilen, anvertrauen"
"пе́сенка","Liedchen"
"разделя́ть","teilen, aufteilen, dividieren, einteilen, unterteilen; trennen, zerteilen, verteilen"
"сла́вка","Grasmücke"
"восемна́дцать","achtzehn"
"ста́лкер","Stalker"
"у́грюмый","griesgrämig, mürrisch, verdrießlich"
"подавля́ть","unterdrücken, niederschlagen; niederdrücken, drücken, erdrücken, abwürgen"
"вы́годный","vorteilhaft, nutzbringend; profitabel, gewinnbringend, günstig"
"то́пливо","Brennstoff, Heizmaterial; Treibstoff, Kraftstoff"
"убежда́ть","überzeugen"
"гли́на","Lehm; Ton"
"огля́дывать","besehen, betrachten, überblicken"
"почти́тельный","ehrerbietig; respektvoll"
"располага́ть","anordnen, verteilen, aufstellen; verfügen, disponieren; stimmen, für sich einnehmen, für sich gewinnen; zurechtlegen"
"уда́чный","gelungen; erfolgreich; treffend"
"объя́тие","Umarmung"
"фона́рик","Laterne, Lampion; Lämpchen"
"мучи́тельно","qualvoll"
"па́зуха","Höhle; Brust, Busen"
"доро́жный","Straßen-, Weg-; Reise-"
"обнима́ть","umarmen, in die Arme schließen; umschlingen, umfassen, umgreifen"
"эшело́н","Staffel, ; Militärtransport, Militärzug; Echolon"
"ир","Kalmus, Calamus; Ir"
"буди́ть","wecken, aufwecken"
"распахну́ться","sich öffnen, aufgehen, aufspringen, aufschwingen"
"обходи́ться","behandeln, umgehen, ; abgehen, ablaufen; auskommen, entbehren können; kosten"
"сохране́ние","Bewahrung, Aufbewahrung, Verwahrung; Erhaltung, Speicherung"
"осуществи́ть","verwirklichen, in die Tat umsetzen, realisieren; durchführen, ausführen; verwirklichen"
"испу́ганный","erschrocken, erschreckt"
"отки́нуть","beiseite werfen, beiseitelassen; zurückwerfen, aufklappen"
"листва́","Laub"
"разде́л","Aufteilung, Teilung, Teilgebiet, Teil; Abschnitt, Absatz, Rubrik, Sparte"
"уса́дьба","Gehöft; Anwesen, Gutshof"
"неда́ром","nicht ohne Grund, nicht von ungefähr; nicht umsonst"
"зли́ться","sich ärgern, in Wut geraten, sauer werden"
"про́пуск","Einlassschein, Durchlassschein, Passierschein, Kennkarte; Auslassung, Leerplatz, Leerstelle; Versäumnis, Ausfall; Parole, Kennwort"
"аналоги́чный","analog, gleichartig, ähnlich"
"вы́прямиться","sich aufrichten"
"газе́тный","Zeitungs-"
"мыть","waschen, putzen, wischen; abwaschen, spülen, abspülen"
"обвиня́ть","beschuldigen, anschuldigen; anklagen, vorwerfen"
"сажа́ть","anbauen, anpflanzen, setzen; setzen, Platz nehmen lassen, hinlegen, legen; landen"
"мора́ль","Moral"
"верте́ться","sich drehen, sich herumdrehen"
"челове́чек","Männchen, Männlein; Menschlein"
"суста́в","Gelenk"
"не́жность","Zärtlichkeit; Zartheit"
"поража́ть","treffen, schlagen, besiegen, vernichten; befallen, heimsuchen; überraschen, erstaunen, verblüffen"
"комсомо́лец","Komsomolze"
"пострада́ть","leiden; erleiden, Schaden nehmen, krank werden; verletzt werden"
"осложне́ние","Komplikation, Verschlechterung, Verwicklung"
"мучи́тельный","qualvoll, peinlich, leidvoll"
"свяще́нный","heilig, geheiligt"
"предприня́ть","unternehmen, vornehmen; einleiten, ergreifen"
"ми́тинг","Kundgebung, Meeting"
"дрожь","Zittern, Frösteln, Schauer"
"месте́чко","Plätzchen; Örtchen"
"рассы́паться","zerfallen, zerbröckeln; verstreut sein, zerstreut sein, sich verstreuen"
"рассыпа́ться","zerfallen, zerbröckeln; verstreut sein, zerstreut sein, sich verstreuen"
"проти́вно","widerlich, abstoßend, ekelhaft, widerwärtig; entgegen"
"ле́нинский","leninistisch"
"связа́ть","binden, zusammenbinden; verbinden, verknüpfen, zusammenfügen, in Verbindung stehen; verpflichten, Zwang auferlegen; stricken, häkeln; in Verbindung setzen, verknüpfen"
"креди́т","Kredit"
"кре́дит","Kredit"
"весть","Botschaft, Kunde, Mitteilung; Nachricht"
"стро́иться","gebaut werden, sich etwas bauen; sich aufstellen, antreten"
"ба́бочка","Schmetterling, Falter; Fliege, Querbinder, Krawattenschleife"
"сня́той","entrahmt, Mager-; entfernt, aufgenommen"
"сосла́ться","sich berufen, sich beziehen"
"уще́лье","Schlucht, Kluft, Klamm, Hohlweg"
"строи́тельный","Bau-"
"вы́бежать","hinauslaufen, herauslaufen"
"ветера́н","Veteran"
"ша́хта","Bergwerk, Grübe, Schacht"
"отодви́нуть","wegschieben, beiseite schieben, zurückschieben, abrücken (von); verschieben, aufschieben, hintanstellen"
"разбира́ть","sortieren, aussortieren, aufdröseln, entziffern, verstehen, einordnen, ordnen; auseinandernehmen, zerlegen, demontieren, abbauen, ausverkaufen; auseinandersetzen, analysieren, verstehen, entziffern, begreifen, ergründen"
"вс","Sonntag; Oberster Rat; Streitkräfte; virtuelle Verbindung"
"трево́жно","aufgeregt, beunruhigt, beunruhigend, unruhig"
"сы́тый","satt"
"бесконе́чно","unendlich, ohne Ende, endlos; ewig, dauernd, fortwährend"
"ноздря́","Nasenloch"
"ви́димость","Sichtbarkeit, Sicht; Schein, Anschein"
"пита́ться","sich ernähren, essen"
"свети́ло","Himmelskörper, Gestirn; Lichtgestalt, Koryphäe"
"вскрича́ть","ausrufen; schreien"
"вы́хватить","herausreißen, herausgreifen, herausziehen; wegschnappen, entreißen"
"потряса́ть","erschüttern, umwerfen"
"встре́чный","Gegen-, entgegengesetzt; entgegenkommend, jmd. der einem über den Weg läuft"
"едини́ца","Einheit; Einser"
"пы́шный","üppig, bauschig, füllig; prunkvoll, pompös, prachtvoll"
"разводи́ть","züchten, anbauen, anpflanzen; trennen, scheiden, lösen, verdünnen; reinlegen"
"звёздный","Stern-, Sternen-; stellar, sternenhell, sternförmig"
"три́жды","3 x (in Multiplikationsaufgaben); dreimal, dreifach"
"сло́жность","Kompliziertheit, Schwierigkeit; Komplexität"
"воспи́тывать","erziehen, großziehen"
"беспла́тный","unentgeltlich, kostenlos, frei"
"вдова́","Witwe"
"идеологи́ческий","ideologisch"
"изли́шний","überflüssig, unnötig, überschüssig; übermäßig, übertrieben, unangemessen"
"пя́теро","fünf; zu fünft"
"берёза","Birke"
"ва́ленок","Filzstiefel"
"предвари́тельный","vorläufig, vorbereitend; vorherig"
"позо́р","Schande; Schmach"
"фонта́н","Springbrunnen, Fontäne"
"зати́хнуть","still werden, verklingen, verstummen, verhallen; abklingen, sich legen"
"бес","Böse, böser Geist, Dämon; Satan, Teufel"
"оригина́льный","Original-, ; original, echt, originell"
"ту́склый","trübe; matt, farblos, fahl"
"пе́пел","Asche"
"цепля́ться","sich klammem, sich festklammern"
"при́зрак","Gespenst, Phantom; Geist, Spuk"
"восхище́ние","Bewunderung, Faszination; Begeisterung, Entzücken"
"бу́рый","braun; bräunlich, mit Braunton"
"возникнове́ние","Entstehung"
"стра́жа","Wache"
"паренёк","Bursche, Junge"
"предъяви́ть","vorweisen, vorzeigen; geltend machen, stellen, erheben"
"алкого́ль","Alkohol"
"ранг","Rang; Amtswürde"
"зла́то","Gold"
"посеща́ть","besuchen, aufsuchen"
"сиони́стский","zionistisch"
"просиде́ть","durchsitzen, eine Weile sitzen"
"а́хнуть","ächzen, Ach rufen, Ach und Weh klagen; Ach und Weh klagen"
"удаля́ться","sich entfernen, sich zurückziehen, fortgehen"
"поздравля́ть","gratulieren, beglückwünschen"
"чу́ять","spüren, fühlen, empfinden; wittern, riechen"
"дёргать","ziehen, zupfen, reißen, ruckartig bewegen; nerven, zerren; reinziehen, süffeln"
"наме́ренный","absichtlich, vorsätzlich; willentlich"
"горячо́","heiß, feurig; mit Feuereifer, mit großem Eifer"
"то́ненький","sehr dünn, ziemlich dünn"
"уничтожа́ть","vernichten, zerstören; ausrotten, ausmerzen; beseitigen, abschaffen"
"сою́зник","Verbündeter, Alliierter"
"жи́вопись","Malerei"
"парла́мент","Parlament"
"ху́дший","schlimmster; schlechtester"
"сму́глый","gebräunt, braungebrannt; braunhäutig, dunkelhäutig"
"семе́йство","Familie"
"негр","Neger"
"разыска́ть","ausfindig machen, auffinden, ermitteln, aufstöbern; fahnden"
"по́черк","Handschrift"
"колле́кция","Sammlung"
"моли́тва","Gebet"
"ритм","Rhythmus"
"ста́я","Zug, Schar, Schwarm, Rudel, Horde"
"блин","Pfannkuchen; Mist !, Verdammt, Scheisse"
"расстава́ться","auseinandergehen, sich verabschieden, sich trennen"
"вне́шне","äußerlich, dem Äußeren nach"
"ишь","schau (mal) einer an, na so was"
"загна́ть","antreiben, scheuchen, abhetzen, in die Enge treiben; hineinjagen, hineintreiben, nachjagen"
"А́зия","Asien"
"пересе́чь","durchqueren, überqueren, durchkreuzen, schneiden, kreuzen"
"подру́жка","Freundin"
"изра́ильский","israelisch, israelitisch"
"сро́чный","eilig, Sofort-, Schnell-; dringend, dringlich"
"пиани́стка","Pianistin, Klavierspielerin"
"разво́д","Scheidung, Ehescheidung"
"кру́то","steil, streng, hart; jäh, plötzlich; cool, toll, super"
"ограни́ченный","begrenzt, limitiert, knapp, eingeschränkt; beschränkt, beknackt, engstirnig, borniert"
"смути́ться","in Verlegenheit geraten"
"реализа́ция","Realisierung, Verwirklichung"
"про́бка","Kork, Korken, Pfropfen, Stöpsel, Stockung, Stauung; Verkehrsstau"
"ми́ска","Schüssel; Napf"
"пан","Pan, gnädiger Herr, Gutsherr"
"раздави́ть","zerdrücken; zerquetschen, erdrücken; zermalmen, : überfahren"
"юриди́ческий","juristisch; rechtlich, Rechts-"
"пенсионе́р","Rentner"
"подводно́й","Zuleitungs-; Zufuhr-, Zuführungs-"
"утверди́ть","bewilligen, genehmigen, bestätigen, verabschieden; bestärken, festigen"
"шо́рох","Geräusch, Geraschel, Rauschen"
"горшо́к","Topf; Pott"
"незначи́тельный","unbedeutend, geringfügig, unwesentlich, gering"
"невероя́тно","unwahrscheinlich; unglaublich; unerhört"
"ма́тушка","Mütterchen; ehrwürdige Mutter"
"верху́шка","Spitze, Gipfel; Baumwipfel"
"национа́льность","Nationalität"
"тигр","Tiger"
"скла́дка","Falte, Bügelfalte, Runzel"
"незави́симо","unabhängig; selbständig"
"вполго́лоса","halblaut, mit halber Stimme"
"ико́на","Ikone"
"зака́нчиваться","zur Neige gehen, zu Ende gehen; enden, zu Ende sein"
"артиллери́йский","Artillerie-"
"распростране́ние","Ausbreitung, Verbreitung, Ausdehnung"
"учёба","Lehre, Lernen; Studium"
"укра́сить","schmücken, ausschmücken; verschönern, dekorieren, verzieren"
"котёнок","Kätzchen, junge Katze, "
"спортсме́н","Sportler"
"добыва́ть","gewinnen, fördern, abbauen; verdienen, sich verschaffen, auftreiben, beschaffen"
"серебро́","Silber, Silbermedaille"
"осма́тривать","besichtigen, genau betrachten, in Augenschein nehmen; untersuchen, mustern, prüfen"
"контроли́ровать","kontrollieren, überprüfen"
"полотно́","Leinen; Leinwand; -blatt"
"пре́лесть","Anmut, Liebreiz, Charme; Reiz, Anziehungskraft"
"всеми́рный","weltweit; Welt-"
"вски́нуть","werfen, hinaufwerfen; heben, erheben"
"помча́ться","dahineilen, eilen, dahinhetzen, dahinjagen; sausen, flitzen, rennen, rasen"
"прете́нзия","Anspruch, Forderung; Reklamation, Beanstandung"
"сраже́ние","Kampf, Schlacht, Gefecht"
"шевели́ть","bewegen, rühren, regen; wenden"
"конфе́та","Konfekt, Praline; Bonbon"
"растеря́ть","verlieren"
"рыво́к","Ruck; Reißen; Endspurt"
"опроки́нуть","umwerfen, umstürzen, umkippen"
"икра́","Kaviar, Rogen, Laich; Wade"
"послу́шно","gehorsam, folgsam"
"погрузи́ть","beladen, verladen, befrachten; eintauchen, versenken"
"по́тный","schweißbedeckt, schweißig, verschwitzt"
"дрянь","Dreck, Mist, Scheiß; Mistkerl, Miststück"
"возврати́ться","zurückkommen, zurückkehren; "
"категори́чески","kategorisch; ausdrücklich"
"недово́льно","unzufrieden"
"адмира́л","Admiral"
"взорва́ться","explodieren, detonieren, in die Luft fliegen"
"обхвати́ть","umfassen, umgreifen"
"распространя́ться","sich verbreiten; sich ausdehnen"
"лёгкость","Leichtheit, Leichtigkeit, Gewandtheit"
"сочу́вствие","Mitgefühl, Anteilnahme"
"скоти́на","Vieh, Tier, Viehzeug, Bestie; Mistkerl, Schweinehund, Saukerl, Miststück"
"вскри́кнуть","aufschreien"
"возглавля́ть","anführen, leiten; vorstehen, an der Spitze stehen"
"окру́га","Umgebung, Umkreis, Bezirk"
"табуре́тка","Schemelchen, kleiner Hocker"
"Финля́ндия","Finnland"
"показа́тель","Indikator, Kennzahl, Kenngröße, Kennwert, Messgröße, Index"
"овца́","Schaf"
"бессмы́сленно","sinnlos; unsinnig"
"отки́нуться","sich zurücklehnen"
"дружи́ть","befreundet sein, Freundschaft halten"
"акце́нт","Akzent, Betonung, Aussprache"
"вражде́бный","feindlich, feindselig"
"заме́тка","Notiz, kurze Mitteilung, Anmerkung"
"ро́бко","schüchtern, scheu; zaghaft, ängstlich, furchtsam, bange"
"отрыва́ть","abreißen, losreißen, abtrennen"
"ту́мбочка","Nachttisch"
"перебива́ть","unterbrechen, ins Wort fallen; zerbrechen, zerschlagen"
"конце́пция","Konzept, Konzeption, Auffassung"
"увели́чиваться","sich vergrössern; sich steigern"
"грандио́зный","grandios"
"кида́ть","werfen, schleudern, schmeißen; betrügen, täuschen; im Stich lassen, hängenlassen, zurücklassen"
"матема́тика","Mathematik"
"земля́к","Landsmann"
"автомоби́льный","Auto-, Automobil-"
"кра́ткий","kurz, Kurz-, knapp, in knappen Worten"
"вообража́ть","sich einbilden, sich vorstellen; sich denken, meinen"
"мерца́ть","flimmern, schimmern; flackern"
"предупрежде́ние","Warnung, Warnhinweis, Verwarnung; Mahnung; Vorbeugung, Verhütung"
"земля́нин","Erdbewohner, Erdling"
"раскали́ть","glühend machen, zum Glühen bringen"
"сыр","Käse"
"микрофо́н","Mikrofon, Mikrophon"
"поля́на","Lichtung, Waldwiese"
"скользну́ть","rutschen, ins Rutschen kommen; gleiten, schlittern"
"прити́хнуть","still werden; verstummen"
"поко́йный","verstorben; ruhig, ruhend, friedlich"
"назнача́ть","bestimmen, festlegen; benennen, ernennen, einsetzen, berufen zu; festlegen, festsetzen, anberaumen, ansetzen, anordnen; verordnen, verschreiben, verabreichen"
"автомати́чески","automatisch"
"фа́ра","Scheinwerfer"
"ри́нуться","sich stürzen"
"особня́к","Villa"
"сторо́нник","Anhänger; Befürworter, Verfechter"
"угрожа́ющий","drohend, ; bedrohlich"
"хан","Khan, Chan"
"немо́й","stumm, Stumm-"
"солда́тик","Soldat, Sodatlein"
"верста́","Werst; langer Lulatsch, Hühne, Riese"
"коне́чность","Gliedmaßen, Extremität; Endlichkeit"
"стано́к","Maschine, Werkzeugmaschine; Gestell, Werkbank, Stand; Box, Stall, Station, Platz"
"брезгли́вый","wählerisch, mäklig, etepetete; angewidert"
"буке́т","Blumenstrauß, Bouquet; Bukett, Aroma"
"заинтересова́ть","jemandes Interesse wecken, interessiert machen"
"стра́жник","Wachmann, Wächter"
"тенде́нция","Tendenz, Trend, Neigung"
"сбо́рный","vorgefertigt, Fertig-, vormontiert; Sammel-, Versammlungs-; Auswahl-"
"адъюта́нт","Adjutant"
"ви́дение","Vision, Auffassung"
"виде́ние","Erscheinung, Traumbild"
"напуга́ть","erschrecken, Angst einjagen"
"скома́ндовать","kommandieren, befehligen, einen Befehl erteilen"
"подозри́тельно","verdächtig, Verdacht erweckend, suspekt; misstrauisch, verdächtig, fragwürdig"
"ра́ция","Funkgerät, Funkstelle, Funkanlage"
"вя́ло","welk, schlaff; träge, energielos"
"и́скренний","aufrichtig"
"гре́ческий","griechisch"
"милице́йский","Miliz-, Polizei, Schutzpolizei-"
"донести́","tragen, bringen; anzeigen, denunzieren; berichten, melden"
"плот","Floß"
"припо́мнить","sich erinnern, sich besinnen, sich entsinnen"
"ре́дкость","Seltenheit, Rarität"
"съёмка","Aufnahme"
"разреша́ть","erlauben, gestatten, bewilligen, genehmigen, zustimmen; lösen"
"нетерпе́ние","Ungeduld"
"схва́тка","Krampf, Wehe; Gefecht, Handgemenge, Rangelei"
"закуси́ть","zu sich nehmen, Brotzeit machen, einen Imbiss nehmen; anbeißen, beißen"
"ма́гия","Magie, Hexerei, Zauberkunst"
"слюна́","Speichel"
"разложи́ть","auslegen, ausbreiten, verteilen; zerlegen, zersetzen, zergliedern"
"ворча́ть","brummen, knurren, anknurren"
"чересчу́р","allzu, viel zu, übermäßig"
"покати́ться","rollen, kugeln, sich wälzen, fließen"
"отража́ть","widerspiegeln, reflektieren, wiedergeben, zum Ausdruck bringen; abwehren, zurückschlagen, zurückweisen"
"осуществля́ть","verwirklichen, umsetzen; durchführen, ausführen"
"вероя́тность","Wahrscheinlichkeit"
"наполови́ну","halb; zur Hälfte"
"вынима́ть","herausnehmen, holen, herausziehen, entfernen"
"алле́я","Allee"
"норови́ть","erpicht sein, anstreben"
"сосредото́чить","konzentrieren, sammeln; zusammenfassen"
"удостовере́ние","Beglaubigung, Bescheinigung, Attest, Zeugnis, Schein; Ausweis, Nachweis, Legitimation"
"отны́не","von nun an, von jetzt an, von heute ab"
"и́хний","ihr, ihre"
"открове́нный","offen, aufrichtig, offenherzig, freimütig; freizügig"
"куста́рник","Strauch, Gesträuch; Busch, Gebüsch"
"дисципли́на","Disziplin, ; Spezialgebiet"
"клок","Büschel, Sträne; Fetzen"
"треть","Drittel"
"взя́ток","Honigausbeute"
"уда́чно","glücklich, treffend"
"офо́рмить","gestalten, ausgestalten, formalisieren; ausfertigen, abfertigen, formal abwickeln"
"новичо́к","Neuling, Anfänger"
"вы́думать","ausdenken, erfinden, erdichten, ersinnen"
"исполни́тель","Darsteller, Interpret; Vollzieher, Vollstrecker"
"по́мниться","sich erinnern"
"нырну́ть","tauchen, untertauchen"
"опра́вдываться","sich rechtfertigen; sich als richtig herausstellen, sich erfüllen"
"о́бморок","Ohnmacht, Bewusstlosigkeit, Ohnmachtsanfall, Ohnmachtszustand"
"А́фрика","Afrika"
"ты́кать","einstecken, hineinstecken; weisen, zeigen; duzen"
"нехоро́ший","nicht gut; schlecht, "
"певе́ц","Sänger"
"удивлённый","überrascht, erstaunt, verwundert"
"пого́ня","Verfolgung, Jagd, ; Verfolgungsjagd, "
"гре́бень","Kamm; Grat, "
"соло́ма","Stroh"
"незави́симость","Unabhängigkeit, Eigenständigkeit (Autonomie), Selbständigkeit"
"пульт","Fernbedienung, Bedieneinrichtung; Pult, Notenständer, Steuerpult"
"фурго́н","Lieferwagen, Planwagen"
"Гру́зия","Georgien"
"ста́ренький","ziemlich alt, ältlich, bejahrt"
"лило́вый","lila, violett"
"почто́вый","Post-, Brief-"
"перекрёсток","Kreuzung, Straßenkreuzung, Kreuzweg"
"треща́ть","krachen, knistern, zirpen, ; schwatzen, plappern"
"организа́тор","Organisator"
"вы́слать","abschicken, wegschicken; abschieben, ausweisen, verbannen"
"мо́щность","Leistung, Kapazität"
"наме́стник","Statthalter, Prior, Resident, Vogt"
"станда́ртный","Standard-, standardisiert, Typen-, typisiert"
"бли́зость","Nähe, Verbundenheit; Vertrautheit, Vertraulichkeit, Intimität"
"фаши́стский","faschistisch"
"ка́федра","Kathedra, Lehrstuhl, Professur; Katheder, Rednerpult, Kanzel"
"рыча́г","Hebel"
"террори́ст","Terrorist"
"доставля́ть","liefern, anliefern, zustellen; bringen, bereiten, verursachen"
"силуэ́т","Silhouette, Umriß"
"смуще́нно","verlegen, befangen; verwirrt"
"оппози́ция","Opposition"
"оце́нивать","einschätzen, beurteilen, bewerten, abschätzen; wertschätzen, würdigen, anerkennen"
"проворча́ть","knurren, anknurren"
"соревнова́ние","Wettbewerb, Wettkampf, Wettstreit"
"велича́йший","größte, größtes, größter, höchste, höchstes, höchster"
"наслажда́ться","genießen"
"купе́","Abteil; Zugabteil"
"сиони́ст","Zionist"
"ассоциа́ция","Assoziation, Gedankenverbindung; Assoziation, Vereinigung, Verband, Verbund"
"чу́ждый","fremd, fremdartig, fern"
"потащи́ть","ziehen, herausziehen, zerren"
"семна́дцать","siebzehn"
"черда́к","Dachboden"
"взаи́мный","gegenseitig, beiderseitig, wechselseitig; reziprok"
"поддава́ться","nachgeben, einem Einfluss erliegen"
"подста́вить","unterstellen, unterschieben, darunterstellen, heranrücken; herhalten, hinstellen; reinlegen"
"за́просто","problemlos, ungezwungen, einfach so"
"зрачо́к","Pupille"
"поблагодари́ть","danken, sich bedanken"
"ску́ка","Langeweile"
"заде́рживаться","sich aufhalten, länger bleiben, sich länger aufhalten; stocken, stehenbleiben, sich verzögern"
"му́жество","Mut, Mannesmut, Tapferkeit, Courage"
"ве́жливый","höflich"
"всевозмо́жный","allerlei"
"бесполе́зно","nutzlos, unnütz, unnötig; vergeblich"
"вме́шиваться","sich einmischen"
"саза́н","Karpfen"
"о́стро","scharf, spitz; heftig, akut"
"любо́вник","Geliebter, Liebhaber"
"са́ни","Schlitten"
"и́збранный","gewählt, ausgewählt; auserwählt, auserkoren"
"помести́ть","unterbringen, stellen, setzen, legen; plazieren"
"разва́лина","Ruine, verfallenes Bauwerk"
"обру́шиться","einstürzen, hereinbrechen, hereinstürzen, zusammenstürzen, zusammenkrachen; sich stürzen, herfallen, heimsuchen; niederstürzen, niederfallen"
"со́тник","Kommandeur in einer Hundertschaft, Leutnant"
"психоло́гия","Psychologie, Mentalität"
"разли́чие","Unterschied; Verschiedenheit"
"овладе́ть","in Besetz nehmen, Besitz ergreifen, erobern, besetzen, erfassen, ergreifen, befallen; beherrschen"
"коля́ска","Wagen, Kinderwagen; Rollstuhl; Karosse, Kutsche"
"чемпио́н","Meister, Champion, Sieger"
"ту́пик","Sackgasse, Abstellgleis"
"тупи́к","Sackgasse, Abstellgleis"
"утону́ть","versinken, untergehen; ertrinken"
"мы́слить","denken"
"ку́ра","Huhn"
"акти́вность","Aktivität, Tatkraft"
"по́лзать","kriechen, krabbeln"
"аудито́рия","Auditorium, Zuhörerschaft, Zuhörer; Unterrichtsraum, Seminarium, Hörsaal"
"посели́ться","sich ansiedeln, sich niederlassen, sesshaft werden; sich einnisten"
"компози́тор","Komponist"
"напада́ть","befallen, ergreifen; überfallen, angreifen; angreifen"
"напа́дать","fallen"
"бытово́й","Alltags-, ; alltäglich, gewöhnlich; Haushalts-"
"лави́на","Lawine"
"шёлковый","seiden, Seiden-, aus Seide"
"грусть","Traurigkeit, Trauer, Wehmut, Schwermut"
"приподня́ться","sich aufsetzen, sich aufsitzen; sich erheben, sich aufrichten"
"даба́","Daba"
"заверши́ть","beenden, vollenden; abschließen"
"держа́ва","Macht, Staat"
"чушь","Blödsinn, Unsinn, dummes Zeug, Quatsch, Stuss"
"мат","Matte; Schachmatt; unflätiges Fluchen"
"побли́зости","in der Nähe"
"ля","la; die"
"су́дорожно","krampfartig, krampfhaft, verkrampft"
"Кана́да","Kanada"
"тре́нер","Trainer"
"о́вощ","Gemüse"
"входно́й","Eingangs-, Eintritts-"
"наложи́ть","anlegen, legen; auferlegen, verhängen; auftragen, legen; füllen, laden"
"помаха́ть","winken, zuwinken; schwingen, schwenken"
"комсомо́л","Komsomol"
"цикл","Zyklus, Reihe, Folge"
"справедли́во","gerecht, mit Recht, begründet, zu Recht"
"парни́шка","Bürschchen, Jüngelchen, Kerlchen"
"выбра́сывать","wegwerfen, hinauswerfen; herausbringen"
"компью́терный","Computer-"
"сти́снуть","zusammendrücken, zusammenpressen, zusammenquetschen"
"пре́данный","ergeben, treu, devot, ausgeliefert"
"сле́дственный","Untersuchungs-, Ermittlungs-; folgernd, Folge-"
"тверди́ть","ständig wiederholen, hartnäckig behaupten, betonen; auswendig lernen"
"медсестра́","Krankenschwester"
"сда́ться","aufgeben, sich ergeben, nachgeben, sich stellen, kapitulieren, klein beigeben; kapitulieren"
"наводи́ть","hinbringen, hinführen, ansteuern"
"экземпля́р","Exemplar"
"пла́вно","gleichmäßig, fließend; sanft, stufenlos"
"солёный","salzig, gesalzen, Salz-, eingesalzen"
"зака́нчивать","beenden, abschließen"
"снести́","bringen, tragen, zusammentragen, forttragen, fortbringen, wegschaffen, fortreißen, wegschwemmen, niederreißen; herunterreißen, abreißen; ertragen, erdulden"
"я́зва","Geschwür, Ulkus, entzündete Wunde; Spötter, Giftnudel; Plage"
"плена́","dünne Schicht, Häutchen, Membran, dünner Film"
"постро́йка","Bauwerk, Bau, Bebauung, Errichtung"
"ныть","jammern, quengeln; weh tun, schmerzen; heulen"
"руби́ть","fällen; zerkleinern, klein hauen, kleinhauen; abhacken; abbauen, fördern"
"сиби́рский","sibirisch"
"лорд","Lord"
"иро́ния","Ironie"
